Таблица данных:
theta_rad    theta_deg    F(theta)    D(theta)    D(theta)_dB
4.887627e-01  28.004041  4.695039e-01  3.306615e-01  -4.806163
4.903343e-01  28.094086  4.708908e-01  3.326180e-01  -4.780542
4.919059e-01  28.184131  4.722766e-01  3.345786e-01  -4.755018
4.934775e-01  28.274176  4.736613e-01  3.365433e-01  -4.729590
4.950491e-01  28.364221  4.750447e-01  3.385121e-01  -4.704258
4.966206e-01  28.454266  4.764270e-01  3.404850e-01  -4.679020
4.981922e-01  28.544311  4.778081e-01  3.424619e-01  -4.653877
4.997638e-01  28.634356  4.791880e-01  3.444429e-01  -4.628828
5.013354e-01  28.724401  4.805668e-01  3.464278e-01  -4.603873
5.029070e-01  28.814446  4.819443e-01  3.484167e-01  -4.579010
5.044785e-01  28.904491  4.833207e-01  3.504096e-01  -4.554240
5.060501e-01  28.994536  4.846959e-01  3.524065e-01  -4.529561
5.076217e-01  29.084581  4.860698e-01  3.544073e-01  -4.504974
5.091933e-01  29.174626  4.874426e-01  3.564120e-01  -4.480477
5.107649e-01  29.264671  4.888142e-01  3.584205e-01  -4.456071
5.123364e-01  29.354716  4.901846e-01  3.604330e-01  -4.431755
5.139080e-01  29.444761  4.915537e-01  3.624493e-01  -4.407528
5.154796e-01  29.534806  4.929217e-01  3.644694e-01  -4.383389
5.170512e-01  29.624851  4.942884e-01  3.664933e-01  -4.359339
5.186228e-01  29.714896  4.956539e-01  3.685210e-01  -4.335377
5.201943e-01  29.804941  4.970182e-01  3.705525e-01  -4.311502
5.217659e-01  29.894986  4.983812e-01  3.725878e-01  -4.287714
5.233375e-01  29.985031  4.997430e-01  3.746267e-01  -4.264012
5.249091e-01  30.075076  5.011036e-01  3.766694e-01  -4.240396
5.264807e-01  30.165121  5.024630e-01  3.787158e-01  -4.216866
5.280523e-01  30.255166  5.038211e-01  3.807658e-01  -4.193420
5.296238e-01  30.345211  5.051780e-01  3.828195e-01  -4.170059
5.311954e-01  30.435256  5.065336e-01  3.848768e-01  -4.146782
5.327670e-01  30.525300  5.078879e-01  3.869377e-01  -4.123589
5.343386e-01  30.615345  5.092411e-01  3.890022e-01  -4.100479
5.359102e-01  30.705390  5.105929e-01  3.910703e-01  -4.077451
5.374817e-01  30.795435  5.119435e-01  3.931419e-01  -4.054506
5.390533e-01  30.885480  5.132929e-01  3.952171e-01  -4.031643
