theta_deg D_times D_dB
49.25 1.349567e-03 -28.698055
49.34 1.353817e-03 -28.684401
49.43 1.358115e-03 -28.670635
49.52 1.362461e-03 -28.656759
49.61 1.366856e-03 -28.642774
49.70 1.371298e-03 -28.628681
49.79 1.375789e-03 -28.614482
49.88 1.380328e-03 -28.600177
49.98 1.384915e-03 -28.585768
50.07 1.389551e-03 -28.571256
50.16 1.394234e-03 -28.556642
50.25 1.398966e-03 -28.541928
50.34 1.403746e-03 -28.527114
50.43 1.408574e-03 -28.512202
50.52 1.413451e-03 -28.497193
50.61 1.418376e-03 -28.482087
50.70 1.423349e-03 -28.466887
50.79 1.428370e-03 -28.451594
50.88 1.433439e-03 -28.436208
50.97 1.438557e-03 -28.420731
51.06 1.443722e-03 -28.405163
51.15 1.448936e-03 -28.389507
51.24 1.454199e-03 -28.373763
51.33 1.459509e-03 -28.357932
51.42 1.464868e-03 -28.342016
51.51 1.470274e-03 -28.326016
51.60 1.475730e-03 -28.309932
51.69 1.481233e-03 -28.293766
51.78 1.486784e-03 -28.277520
51.87 1.492384e-03 -28.261194
51.96 1.498032e-03 -28.244789
52.05 1.503728e-03 -28.228306
52.14 1.509473e-03 -28.211747
52.23 1.515265e-03 -28.195113
52.32 1.521106e-03 -28.178405
52.41 1.526995e-03 -28.161624
52.50 1.532932e-03 -28.144770
52.59 1.538918e-03 -28.127846
52.68 1.544951e-03 -28.110853
52.77 1.551033e-03 -28.093790
52.86 1.557163e-03 -28.076660
52.95 1.563341e-03 -28.059464
53.04 1.569567e-03 -28.042202
53.13 1.575841e-03 -28.024876
53.22 1.582163e-03 -28.007487
53.31 1.588534e-03 -27.990036
53.40 1.594952e-03 -27.972524
53.49 1.601419e-03 -27.954951
53.58 1.607933e-03 -27.937320
53.67 1.614496e-03 -27.919631
53.76 1.621106e-03 -27.901885
53.85 1.627765e-03 -27.884083
53.94 1.634471e-03 -27.866227
54.03 1.641226e-03 -27.848317
54.12 1.648028e-03 -27.830354
54.21 1.654878e-03 -27.812339
54.30 1.661776e-03 -27.794274
54.39 1.668722e-03 -27.776159
54.48 1.675716e-03 -27.757996
54.57 1.682757e-03 -27.739785
54.66 1.689846e-03 -27.721528
54.75 1.696983e-03 -27.703225
54.84 1.704168e-03 -27.684877
54.93 1.711400e-03 -27.666486
55.02 1.718679e-03 -27.648052
55.11 1.726006e-03 -27.629576
55.20 1.733381e-03 -27.611060
55.29 1.740803e-03 -27.592504
55.38 1.748272e-03 -27.573909
55.47 1.755789e-03 -27.555277
55.56 1.763353e-03 -27.536607
55.65 1.770964e-03 -27.517902
55.74 1.778623e-03 -27.499162
55.83 1.786328e-03 -27.480388
55.92 1.794081e-03 -27.461580
56.01 1.801880e-03 -27.442741
56.10 1.809727e-03 -27.423870
56.19 1.817620e-03 -27.404969
56.28 1.825560e-03 -27.386038
56.37 1.833547e-03 -27.367079
56.46 1.841581e-03 -27.348093
56.55 1.849661e-03 -27.329080
56.64 1.857787e-03 -27.310040
56.73 1.865960e-03 -27.290976
56.82 1.874180e-03 -27.271888
56.91 1.882445e-03 -27.252777
57.00 1.890757e-03 -27.233643
57.09 1.899115e-03 -27.214488
57.18 1.907519e-03 -27.195312
57.27 1.915968e-03 -27.176116
57.36 1.924464e-03 -27.156902
57.45 1.933005e-03 -27.137669
57.54 1.941592e-03 -27.118420
57.63 1.950225e-03 -27.099154
57.72 1.958903e-03 -27.079872
57.81 1.967626e-03 -27.060575
57.90 1.976394e-03 -27.041265
57.99 1.985207e-03 -27.021941
58.08 1.994066e-03 -27.002605
58.17 2.002969e-03 -26.983258
58.26 2.011917e-03 -26.963900
58.35 2.020909e-03 -26.944531
58.44 2.029946e-03 -26.925154
58.53 2.039028e-03 -26.905768
58.62 2.048153e-03 -26.886375
58.71 2.057323e-03 -26.866975
58.80 2.066537e-03 -26.847569
58.89 2.075794e-03 -26.828157
58.98 2.085095e-03 -26.808741
59.07 2.094440e-03 -26.789321
59.16 2.103828e-03 -26.769898
59.25 2.113259e-03 -26.750472
59.34 2.122734e-03 -26.731045
59.43 2.132251e-03 -26.711617
59.52 2.141811e-03 -26.692189
59.61 2.151414e-03 -26.672761
59.70 2.161059e-03 -26.653335
59.79 2.170746e-03 -26.633910
59.88 2.180475e-03 -26.614488
59.97 2.190247e-03 -26.595070
60.06 2.200060e-03 -26.575655
60.15 2.209914e-03 -26.556246
60.24 2.219810e-03 -26.536841
60.33 2.229748e-03 -26.517443
60.42 2.239726e-03 -26.498051
60.51 2.249745e-03 -26.478667
60.60 2.259804e-03 -26.459291
60.69 2.269905e-03 -26.439924
60.78 2.280045e-03 -26.420566
60.87 2.290225e-03 -26.401218
60.96 2.300445e-03 -26.381881
61.05 2.310705e-03 -26.362555
61.14 2.321004e-03 -26.343241
61.23 2.331342e-03 -26.323939
61.32 2.341720e-03 -26.304651
61.41 2.352135e-03 -26.285377
61.50 2.362590e-03 -26.266117
61.59 2.373083e-03 -26.246872
61.68 2.383613e-03 -26.227642
61.77 2.394182e-03 -26.208429
61.86 2.404788e-03 -26.189233
61.95 2.415431e-03 -26.170054
62.04 2.426111e-03 -26.150892
62.13 2.436829e-03 -26.131750
62.22 2.447582e-03 -26.112627
62.31 2.458373e-03 -26.093523
62.40 2.469199e-03 -26.074440
62.49 2.480060e-03 -26.055377
62.58 2.490958e-03 -26.036336
62.67 2.501891e-03 -26.017317
62.76 2.512858e-03 -25.998320
62.85 2.523860e-03 -25.979347
62.94 2.534897e-03 -25.960397
63.03 2.545968e-03 -25.941471
63.12 2.557073e-03 -25.922570
63.21 2.568211e-03 -25.903693
63.30 2.579382e-03 -25.884843
63.39 2.590587e-03 -25.866019
63.48 2.601824e-03 -25.847221
63.57 2.613093e-03 -25.828451
63.66 2.624394e-03 -25.809709
63.75 2.635728e-03 -25.790995
63.84 2.647092e-03 -25.772309
63.93 2.658488e-03 -25.753653
64.02 2.669914e-03 -25.735027
64.11 2.681371e-03 -25.716430
64.20 2.692858e-03 -25.697865
64.29 2.704375e-03 -25.679330
64.38 2.715922e-03 -25.660828
64.47 2.727497e-03 -25.642357
64.56 2.739101e-03 -25.623919
64.65 2.750734e-03 -25.605514
64.74 2.762395e-03 -25.587142
64.83 2.774083e-03 -25.568805
64.92 2.785799e-03 -25.550502
65.01 2.797542e-03 -25.532234
65.10 2.809312e-03 -25.514001
65.19 2.821108e-03 -25.495803
65.28 2.832930e-03 -25.477642
65.37 2.844777e-03 -25.459518
65.46 2.856649e-03 -25.441430
65.55 2.868547e-03 -25.423380
65.64 2.880469e-03 -25.405368
65.73 2.892415e-03 -25.387395
65.82 2.904384e-03 -25.369460
65.91 2.916377e-03 -25.351564
66.00 2.928393e-03 -25.333707
66.09 2.940431e-03 -25.315891
66.18 2.952491e-03 -25.298114
66.27 2.964573e-03 -25.280379
66.36 2.976676e-03 -25.262685
66.45 2.988800e-03 -25.245032
66.54 3.000944e-03 -25.227421
66.63 3.013109e-03 -25.209852
66.72 3.025293e-03 -25.192326
66.81 3.037496e-03 -25.174843
66.90 3.049718e-03 -25.157404
66.99 3.061958e-03 -25.140008
67.08 3.074216e-03 -25.122656
67.17 3.086492e-03 -25.105349
67.26 3.098784e-03 -25.088087
67.35 3.111093e-03 -25.070869
67.44 3.123419e-03 -25.053698
67.53 3.135760e-03 -25.036572
67.62 3.148116e-03 -25.019493
67.71 3.160487e-03 -25.002460
67.80 3.172872e-03 -24.985474
67.89 3.185271e-03 -24.968536
67.98 3.197684e-03 -24.951645
68.07 3.210109e-03 -24.934802
68.16 3.222547e-03 -24.918008
68.25 3.234997e-03 -24.901262
68.34 3.247458e-03 -24.884565
68.43 3.259930e-03 -24.867917
68.52 3.272413e-03 -24.851319
68.61 3.284906e-03 -24.834770
68.70 3.297409e-03 -24.818272
68.79 3.309920e-03 -24.801824
68.88 3.322441e-03 -24.785428
68.97 3.334969e-03 -24.769082
69.06 3.347505e-03 -24.752788
69.15 3.360048e-03 -24.736545
69.24 3.372598e-03 -24.720355
69.33 3.385153e-03 -24.704216
69.42 3.397715e-03 -24.688131
69.51 3.410281e-03 -24.672098
69.60 3.422852e-03 -24.656119
